tier,scheme,field,field_storage_bits,log_domain,points,seed,keygen_us,party0_full_eval_us,party1_full_eval_us,full_eval_serial_us,attempts,key_bytes_both,keygen_peak_extra_bytes,eval_peak_extra_bytes,output_bytes_per_party,validation
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,1,1,2.985,68.897,54.492,123.389,1,512,512,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,1,1,21.331,157.158,126.401,283.559,1,7536,8576,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,1,1,208.105,460.819,475.603,936.422,1,573760,574610,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,2,1,3.825,112.651,81.222,193.873,1,1024,1024,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,2,1,21.738,135.573,113.144,248.717,1,10528,12496,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,2,1,181.061,419.952,403.936,823.888,1,521808,523492,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,3,1,4.463,147.770,116.035,263.805,1,1536,1536,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,3,1,29.764,154.600,125.691,280.291,1,15040,18720,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,3,1,198.921,409.114,395.172,804.286,1,521808,525110,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,4,1,5.257,183.170,157.911,341.081,1,2048,2048,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,4,1,36.012,157.286,130.936,288.222,1,23136,26960,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,4,1,214.802,462.547,410.053,872.600,1,469920,473272,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,5,1,6.129,229.388,193.726,423.114,1,2560,2560,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,5,1,46.501,150.908,116.021,266.929,1,36784,40752,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,5,1,206.803,424.137,399.543,823.680,1,469920,473322,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,6,1,6.855,260.114,239.031,499.145,1,3072,3072,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,6,1,60.260,153.289,124.876,278.165,1,63232,70480,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,6,1,240.651,418.535,412.306,830.841,1,469920,476508,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,7,1,8.625,327.978,299.446,627.424,1,3584,3584,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,7,1,74.172,139.789,112.381,252.170,1,115280,122672,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,7,1,255.483,421.057,431.605,852.662,1,469920,476558,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,8,1,8.451,321.461,303.028,624.489,1,4096,4096,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,8,1,113.385,154.357,117.332,271.689,1,218528,226064,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,8,1,248.250,421.102,413.304,834.406,1,418160,424848,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,9,1,10.462,404.318,374.485,778.803,1,4608,4608,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,9,1,111.562,159.871,134.816,294.687,1,221424,229104,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,9,1,300.745,467.933,461.565,929.498,1,418160,424898,100352,32768,pass
