seed_hi,seed_lo,sl_hi,sl_lo,tl,sr_hi,sr_lo,tr
0000000000000000,0000000000000000,2e2b34ca59fa4c88,3b2c8aefd44be966,1,81a2622436eaaceb,8580adeaa776f1bc,1
0000000000000000,0000000000000001,7e46c568d1cd4972,bb1a61f95dd80edc,0,75ee4494e29a2425,4c07eb722297fd70,1
ffffffffffffffff,ffffffffffffffff,2cc9bf3845486489,cd5f7d878c25f6a1,0,aa489d77d4813a1a,3b12059994a7c242,1
fedcba9876545210,048d159e26af37bf,e0c05c5aabcc7118,a8fcb44dc874ae86,0,812387607fac45ed,0876b34f91f2c878,1
fedcba987654b210,05b05b05b05b05af,5668c9c39629f400,dad17e5a2f5c05c8,0,3a157f291969ea87,7d7966685e9f7cf4,1
fedcba9876549210,06d3a06d3a06d39f,3a2e4fe6577aecc2,a041e0113e5d7ceb,0,808a7d2b4b54d47e,318b3f37f9ff99a8,1
fedcba987654f210,07f6e5d4c3b2a18f,a0311f7fc8f48bd3,4a0917df908e7a5b,1,9e9c812774166c87,4b85e072e701dae7,0
fedcba987654d210,091a2b3c4d5e6f7f,6f75f6da557bb9bb,292497481dfa0aa7,0,5cf496bf0869f910,60753db922a9e871,1
fedcba9876553210,0a3d70a3d70a3d6f,e42e1ffcc94d13a6,ff8af07ea3d00ed2,0,c2ab53bc81c07bf0,69054157ef1feef1,1
fedcba9876551210,0b60b60b60b60b5f,7b7063d3f0c42d11,13b536a155ee8756,1,6dc9bb280cbe5767,d2915eb58e75171f,0
fedcba9876557210,0c83fb72ea61d94f,1de817f364e8b364,ad850e927e2dc12b,0,a5c0a993ac84c6ec,fd7fc34b725c6a99,0
fedcba9876555210,0da740da740da73f,827b1589a1dec6ff,ea22daba4c665ca4,1,6637acab677eaa97,7ccbc997fb4d6a55,1
fedcba987655b210,0eca8641fdb9752f,f5837eac3fe24692,acd14dfe1f914e37,0,a251a31761a02246,328366b87806a5d6,1
fedcba9876559210,0fedcba98765431f,b6ca73f8a8d6e0bc,5000fb5bb5e8d698,1,c4328dcaa9acb8a5,1ad676679827dc46,1
fedcba987655f210,111111111111110f,388f8e3bcb5c4e23,701b44ec8b8ff8bd,1,cd47e84d92b50d79,1fcac6b9d1802434,1
fedcba987655d210,123456789abcdeff,cc7a1e038c2ba290,ad459dd0a0ab7f00,0,e87cdbd5c0c3c335,536ea1d247948974,1
