party,modulus,prg,log_domain,batch_trees,generated,selftest_rounds,selftest_triple_fail,selftest_ole_fail,string_ots_128_per_tree,triple_ots_per_tree,ole_ots_per_tree,bit_triples_per_tree,scalar_oles_per_tree,phase_a_logical_opened_bits_per_tree,phase_b_logical_opened_bits_per_tree,phase_c_logical_opened_bits_per_tree,logical_opened_bits_per_tree,meaningful_share_bits_per_tree,base_ots,setup_bytes_sent,setup_direction_switches,protocol_bytes_sent_batch,protocol_bytes_sent_per_tree,protocol_direction_switches_batch,us_batch,us_per_tree,transcript_accounting,selftest,status
0,q62,splitmix,4,8,8,16,0,0,8.0,6.0,186.0,3.0,3.0,6.0,520.0,62.0,588.0,1176.0,256,21829,6,45230,5653.8,28,4952.6,619.1,pass,pass,pass
1,q62,splitmix,4,8,8,16,0,0,8.0,6.0,186.0,3.0,3.0,6.0,520.0,62.0,588.0,1176.0,256,21829,6,46742,5842.8,28,4952.1,619.0,pass,pass,pass
0,q62,splitmix,8,8,8,16,0,0,16.0,14.0,186.0,7.0,3.0,14.0,1040.0,62.0,1116.0,2232.0,256,21829,6,63254,7906.8,52,7782.0,972.8,pass,pass,pass
1,q62,splitmix,8,8,8,16,0,0,16.0,14.0,186.0,7.0,3.0,14.0,1040.0,62.0,1116.0,2232.0,256,21829,6,64766,8095.8,52,7781.9,972.7,pass,pass,pass
0,q62,splitmix,11,4,4,16,0,0,22.0,20.0,186.0,10.0,3.0,20.0,1430.0,62.0,1512.0,3024.0,256,21829,6,62966,15741.5,70,11104.5,2776.1,pass,pass,pass
1,q62,splitmix,11,4,4,16,0,0,22.0,20.0,186.0,10.0,3.0,20.0,1430.0,62.0,1512.0,3024.0,256,21829,6,63718,15929.5,70,11107.8,2776.9,pass,pass,pass
0,q62,splitmix,14,2,2,16,0,0,28.0,26.0,186.0,13.0,3.0,26.0,1820.0,62.0,1908.0,3816.0,256,21829,6,68663,34331.5,88,13139.8,6569.9,pass,pass,pass
1,q62,splitmix,14,2,2,16,0,0,28.0,26.0,186.0,13.0,3.0,26.0,1820.0,62.0,1908.0,3816.0,256,21829,6,71079,35539.5,88,13143.3,6571.7,pass,pass,pass
0,q62b,splitmix,8,8,8,16,0,0,16.0,14.0,186.0,7.0,3.0,14.0,1040.0,62.0,1116.0,2232.0,256,21829,6,63254,7906.8,52,8542.9,1067.9,pass,pass,pass
1,q62b,splitmix,8,8,8,16,0,0,16.0,14.0,186.0,7.0,3.0,14.0,1040.0,62.0,1116.0,2232.0,256,21829,6,64766,8095.8,52,8542.2,1067.8,pass,pass,pass
0,q62b,splitmix,14,2,2,16,0,0,28.0,26.0,186.0,13.0,3.0,26.0,1820.0,62.0,1908.0,3816.0,256,21829,6,68663,34331.5,88,15938.8,7969.4,pass,pass,pass
1,q62b,splitmix,14,2,2,16,0,0,28.0,26.0,186.0,13.0,3.0,26.0,1820.0,62.0,1908.0,3816.0,256,21829,6,71079,35539.5,88,15938.0,7969.0,pass,pass,pass
0,q62,splitmix,11,1,1,16,0,0,22.0,20.0,186.0,10.0,3.0,20.0,1430.0,62.0,1512.0,3024.0,256,21829,6,52618,52618.0,70,11996.4,11996.4,pass,pass,pass
1,q62,splitmix,11,1,1,16,0,0,22.0,20.0,186.0,10.0,3.0,20.0,1430.0,62.0,1512.0,3024.0,256,21829,6,57914,57914.0,70,11996.2,11996.2,pass,pass,pass
0,q62,splitmix,11,16,16,16,0,0,22.0,20.0,186.0,10.0,3.0,20.0,1430.0,62.0,1512.0,3024.0,256,21829,6,104392,6524.5,70,12482.5,780.2,pass,pass,pass
1,q62,splitmix,11,16,16,16,0,0,22.0,20.0,186.0,10.0,3.0,20.0,1430.0,62.0,1512.0,3024.0,256,21829,6,107416,6713.5,70,12482.3,780.1,pass,pass,pass
0,q62,splitmix,11,64,64,16,0,0,22.0,20.0,186.0,10.0,3.0,20.0,1430.0,62.0,1512.0,3024.0,256,21829,6,278304,4348.5,70,21229.5,331.7,pass,pass,pass
1,q62,splitmix,11,64,64,16,0,0,22.0,20.0,186.0,10.0,3.0,20.0,1430.0,62.0,1512.0,3024.0,256,21829,6,286304,4473.5,70,21223.0,331.6,pass,pass,pass
0,q62,splitmix,11,256,256,16,0,0,22.0,20.0,186.0,10.0,3.0,20.0,1430.0,62.0,1512.0,3024.0,256,21829,6,969856,3788.5,70,43114.0,168.4,pass,pass,pass
1,q62,splitmix,11,256,256,16,0,0,22.0,20.0,186.0,10.0,3.0,20.0,1430.0,62.0,1512.0,3024.0,256,21829,6,1010048,3945.5,70,42684.3,166.7,pass,pass,pass
