prefix,keys,pass,fail,public_material_mismatch,negative_control,validation
/home/fatih/EzPC/GPU-MPC/ringlpn/results/dpf/two_party_keys/L4_m0_b8,8,8,0,0,failed_as_expected,pass
/home/fatih/EzPC/GPU-MPC/ringlpn/results/dpf/two_party_keys/L8_m0_b8,8,8,0,0,failed_as_expected,pass
/home/fatih/EzPC/GPU-MPC/ringlpn/results/dpf/two_party_keys/L11_m0_b4,4,4,0,0,failed_as_expected,pass
/home/fatih/EzPC/GPU-MPC/ringlpn/results/dpf/two_party_keys/L14_m0_b2,2,2,0,0,failed_as_expected,pass
/home/fatih/EzPC/GPU-MPC/ringlpn/results/dpf/two_party_keys/L8_m1_b8,8,8,0,0,failed_as_expected,pass
/home/fatih/EzPC/GPU-MPC/ringlpn/results/dpf/two_party_keys/L14_m1_b2,2,2,0,0,failed_as_expected,pass
/home/fatih/EzPC/GPU-MPC/ringlpn/results/dpf/two_party_keys/L11_m0_b1,1,1,0,0,failed_as_expected,pass
/home/fatih/EzPC/GPU-MPC/ringlpn/results/dpf/two_party_keys/L11_m0_b16,16,16,0,0,failed_as_expected,pass
/home/fatih/EzPC/GPU-MPC/ringlpn/results/dpf/two_party_keys/L11_m0_b64,64,64,0,0,failed_as_expected,pass
/home/fatih/EzPC/GPU-MPC/ringlpn/results/dpf/two_party_keys/L11_m0_b256,256,256,0,0,failed_as_expected,pass
