model,layer,trial,sample_role,rows,inner,cols,bw,qbits,noise,ole_n,ring_batches,p0_ring_oles,p1_ring_oles,p0_dpf_trees,p1_dpf_trees,p0_public_a_words,p1_public_a_words,p0_protocol_bytes,p1_protocol_bytes,p0_total_us,p1_total_us,p0_record_bytes,p1_record_bytes,final_payload_bytes_per_party,matched_dealer_keygen_us,checker_two_share_online_us,matched_dealer_keygen_contract,key_order,unchanged_online,status
ResNet18,classifier,0,warmup,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.62518e+07,3.62512e+07,4108208,4108208,4108096,10841,1095.84,pass,pass,pass,pass
ResNet18,classifier,1,measured,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.71055e+07,3.71055e+07,4108208,4108208,4108096,10846.4,1097.15,pass,pass,pass,pass
ResNet18,classifier,2,measured,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.63396e+07,3.63396e+07,4108208,4108208,4108096,11100.2,1095.84,pass,pass,pass,pass
ResNet18,classifier,3,measured,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.62483e+07,3.62484e+07,4108208,4108208,4108096,10920.3,1098.18,pass,pass,pass,pass
ResNet18,classifier,4,measured,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.54982e+07,3.54982e+07,4108208,4108208,4108096,10780,1106.74,pass,pass,pass,pass
ResNet18,classifier,5,measured,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.50453e+07,3.50453e+07,4108208,4108208,4108096,10737.5,1094.69,pass,pass,pass,pass
ResNet18,classifier,6,measured,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.49808e+07,3.49808e+07,4108208,4108208,4108096,10665.3,1101.01,pass,pass,pass,pass
ResNet18,classifier,7,measured,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.59724e+07,3.59724e+07,4108208,4108208,4108096,11234.5,1106.14,pass,pass,pass,pass
ResNet18,classifier,8,measured,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.52961e+07,3.52961e+07,4108208,4108208,4108096,10484.2,1097.04,pass,pass,pass,pass
ResNet18,classifier,9,measured,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.52584e+07,3.52585e+07,4108208,4108208,4108096,11102.2,1098.95,pass,pass,pass,pass
ResNet18,classifier,10,measured,1,512,1000,32,128,regular,8192,63,252,252,64512,64512,4128768,4128768,302389836,306470988,3.63839e+07,3.63821e+07,4108208,4108208,4108096,10758.9,1102.1,pass,pass,pass,pass
