schema_version,source_schema_version,publication_date,manifest_sha256,workload_manifest_sha256,raw_trials_sha256,binary_sha256,environment_sha256,result_schema_sha256,model,model_order,trial,sample_role,workload,expected_executable_layers,retained_layer_rows,failed_layer_rows,unsupported_convolution_layers,unsupported_truncation_layers,p0_ring_oles_total,p1_ring_oles_total,p0_dpf_trees_total,p1_dpf_trees_total,p0_public_a_seed_words_total,p1_public_a_seed_words_total,p0_protocol_bytes_total,p1_protocol_bytes_total,p0_record_bytes_total,p1_record_bytes_total,final_payload_bytes_per_party_total,p0_total_us_total,p1_total_us_total,matched_dealer_keygen_us_total,checker_two_share_online_us_total,stock_gpuKeygenMatmul_two_party_sequential_us_total,unchanged_gpuMatmulBeaver_two_share_sequential_us_total,p0_protocol_dependency_rounds_total,p1_protocol_dependency_rounds_total,p0_preflight_us_total,p1_preflight_us_total,p0_ot_setup_us_total,p1_ot_setup_us_total,p0_dpf_phase_a_us_total,p1_dpf_phase_a_us_total,p0_dpf_phase_b_us_total,p1_dpf_phase_b_us_total,p0_dpf_phase_c_us_total,p1_dpf_phase_c_us_total,p0_spfss_grouping_us_total,p1_spfss_grouping_us_total,p0_public_polynomial_exchange_us_total,p1_public_polynomial_exchange_us_total,p0_gpu_ringlpn_expansion_us_total,p1_gpu_ringlpn_expansion_us_total,p0_derandomization_openings_us_total,p1_derandomization_openings_us_total,p0_conversion_us_total,p1_conversion_us_total,p0_serialization_us_total,p1_serialization_us_total,p0_commit_us_total,p1_commit_us_total,p0_transport_straight_bytes_sent_total,p1_transport_straight_bytes_sent_total,p0_transport_straight_bytes_received_total,p1_transport_straight_bytes_received_total,p0_transport_reversed_bytes_sent_total,p1_transport_reversed_bytes_sent_total,p0_transport_reversed_bytes_received_total,p1_transport_reversed_bytes_received_total,p0_base_ots_total,p1_base_ots_total,p0_base_ot_setup_bytes_sent_total,p1_base_ot_setup_bytes_sent_total,p0_base_ot_setup_bytes_received_total,p1_base_ot_setup_bytes_received_total,p0_peak_host_rss_bytes_max,p1_peak_host_rss_bytes_max,p0_peak_gpu_bytes_max,p1_peak_gpu_bytes_max,p0_min_gpu_free_bytes_min,p1_min_gpu_free_bytes_min,p0_transport_bytes_include_base_ot,p1_transport_bytes_include_base_ot,p0_base_ot_setup_dependency_rounds,p1_base_ot_setup_dependency_rounds,checker_us_total,checker_peak_host_rss_bytes_max,checker_peak_gpu_bytes_max,checker_min_gpu_free_bytes_min,critical_path_protocol_dependency_rounds_total,critical_path_preflight_us_total,critical_path_ot_setup_us_total,critical_path_dpf_phase_a_us_total,critical_path_dpf_phase_b_us_total,critical_path_dpf_phase_c_us_total,critical_path_spfss_grouping_us_total,critical_path_public_polynomial_exchange_us_total,critical_path_gpu_ringlpn_expansion_us_total,critical_path_derandomization_openings_us_total,critical_path_conversion_us_total,critical_path_serialization_us_total,critical_path_commit_us_total,critical_path_preprocess_us_total,critical_path_setup_included_us_total,execution_status,full_model_status,workload_status,status
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,cc07de40cd35aeadab63152c5f2f10dc4f56fb9222aaa26458ed91aaa728b7e5,02eaaac9740fde6370cacb7703a965e4785f483da23c2d9795424acd326a0bee,59f400cb347774372eb190b498659466e648d9dbd39e8a742e65e27988f2c563,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,ResNet18,7,0,warmup,classifier,1,1,0,20,21,276,276,70656,70656,4,4,92105212,90267132,4108304,4108304,4108096,4056260,4056280,14855.1,1158.92,14855.1,1158.92,11023,11023,30.876,133.212,21726.2,21716.7,248560,248565,1991260,1991310,45880.1,45142,1743.17,1761.25,47722.7,52398.9,1222420,1221490,94219.5,81491.5,40755,40806.5,11290,12041.8,866.243,112.1,64179485,65170738,65170738,64179485,27947717,25118384,25118384,27947717,256,256,21829,21829,21829,21829,142528512,143212544,31929597952,31927500800,1896939520,1899036672,yes,yes,NA,NA,177654,171266048,20187643904,13638893568,11023,133.212,21726.2,248565,1991310,45880.1,1761.25,52398.9,1222420,94219.5,40806.5,12041.8,866.243,4056280,4078129.912,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,cc07de40cd35aeadab63152c5f2f10dc4f56fb9222aaa26458ed91aaa728b7e5,02eaaac9740fde6370cacb7703a965e4785f483da23c2d9795424acd326a0bee,59f400cb347774372eb190b498659466e648d9dbd39e8a742e65e27988f2c563,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,ResNet18,7,1,measured,classifier,1,1,0,20,21,276,276,70656,70656,4,4,92105212,90267132,4108304,4108304,4108096,3970770,3968540,15085,1151.81,15085,1151.81,11023,11023,25.662,210.279,19961.3,22183.9,246273,246283,1930210,1930330,41491.9,41307.1,1694.41,1738.19,50661.4,48821.7,1228020,1224500,92882,80771.9,40775.5,40826.9,12603.8,12629.5,144.093,118.792,64179485,65170738,65170738,64179485,27947717,25118384,25118384,27947717,256,256,21829,21829,21829,21829,143015936,142376960,31929597952,31927500800,1896939520,1899036672,yes,yes,NA,NA,177639,171405312,20187643904,13638893568,11023,210.279,22183.9,246283,1930330,41491.9,1738.19,50661.4,1228020,92882,40826.9,12629.5,144.093,3970770,3990934.179,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,cc07de40cd35aeadab63152c5f2f10dc4f56fb9222aaa26458ed91aaa728b7e5,02eaaac9740fde6370cacb7703a965e4785f483da23c2d9795424acd326a0bee,59f400cb347774372eb190b498659466e648d9dbd39e8a742e65e27988f2c563,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,ResNet18,7,2,measured,classifier,1,1,0,20,21,276,276,70656,70656,4,4,92105212,90267132,4108304,4108304,4108096,3927500,3927550,14686.2,1146.68,14686.2,1146.68,11023,11023,28.361,50.791,24248.5,24208.2,247314,247349,1893230,1892730,41166.2,41612.1,1746.06,1662.64,51298.1,47236.8,1223460,1223560,94552.7,80979.2,40888.7,40933.7,12425.5,13844.3,1711.54,287.058,64179485,65170738,65170738,64179485,27947717,25118384,25118384,27947717,256,256,21829,21829,21829,21829,142118912,142319616,31929597952,31927500800,1896939520,1899036672,yes,yes,NA,NA,178179,170999808,20187643904,13638893568,11023,50.791,24248.5,247349,1893230,41612.1,1746.06,51298.1,1223560,94552.7,40933.7,13844.3,1711.54,3927550,3951808.991,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,cc07de40cd35aeadab63152c5f2f10dc4f56fb9222aaa26458ed91aaa728b7e5,02eaaac9740fde6370cacb7703a965e4785f483da23c2d9795424acd326a0bee,59f400cb347774372eb190b498659466e648d9dbd39e8a742e65e27988f2c563,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,ResNet18,7,3,measured,classifier,1,1,0,20,21,276,276,70656,70656,4,4,92105212,90267132,4108304,4108304,4108096,4003740,4003580,15217.6,1155.03,15217.6,1155.03,11023,11023,32.041,143.525,18946.3,18944,244795,244797,1961560,1961680,42243.5,42101.2,1738.66,1787.55,47303.7,47807.3,1223500,1226420,94486.5,82336.6,42032.9,42084.6,12654.4,11597.3,284.914,1334.87,64179485,65170738,65170738,64179485,27947717,25118384,25118384,27947717,256,256,21829,21829,21829,21829,142299136,142581760,31929597952,31927500800,1896939520,1899036672,yes,yes,NA,NA,174415,171266048,20187643904,13638893568,11023,143.525,18946.3,244797,1961680,42243.5,1787.55,47807.3,1226420,94486.5,42084.6,12654.4,1334.87,4003740,4022718.341,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,cc07de40cd35aeadab63152c5f2f10dc4f56fb9222aaa26458ed91aaa728b7e5,02eaaac9740fde6370cacb7703a965e4785f483da23c2d9795424acd326a0bee,59f400cb347774372eb190b498659466e648d9dbd39e8a742e65e27988f2c563,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,ResNet18,7,4,measured,classifier,1,1,0,20,21,276,276,70656,70656,4,4,92105212,90267132,4108304,4108304,4108096,4033160,4033190,15535.7,1150.73,15535.7,1150.73,11023,11023,34.285,13.299,24158.9,24138.5,249199,249178,1987430,1987570,41833.9,41634.2,1804.17,1797.72,47905.9,54522.8,1222680,1225440,94937.8,81286.9,41898.3,41940,12274.2,12147.2,160.217,278.192,64179485,65170738,65170738,64179485,27947717,25118384,25118384,27947717,256,256,21829,21829,21829,21829,141889536,143011840,31929597952,31927500800,1896939520,1899036672,yes,yes,NA,NA,174725,171442176,20187643904,13638893568,11023,34.285,24158.9,249199,1987570,41833.9,1804.17,54522.8,1225440,94937.8,41940,12274.2,278.192,4033190,4057353.185,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,cc07de40cd35aeadab63152c5f2f10dc4f56fb9222aaa26458ed91aaa728b7e5,02eaaac9740fde6370cacb7703a965e4785f483da23c2d9795424acd326a0bee,59f400cb347774372eb190b498659466e648d9dbd39e8a742e65e27988f2c563,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,ResNet18,7,5,measured,classifier,1,1,0,20,21,276,276,70656,70656,4,4,92105212,90267132,4108304,4108304,4108096,4005880,4005950,14702.2,1148.17,14702.2,1148.17,11023,11023,26.515,36.422,20245.4,20200,244965,245006,1959220,1959530,43001.5,42678.4,1763.62,1767.02,48419.3,50543.1,1224390,1230150,95525.2,82369.6,41848,41887.4,13932.2,11979.3,290.009,2246.31,64179485,65170738,65170738,64179485,27947717,25118384,25118384,27947717,256,256,21829,21829,21829,21829,142024704,142344192,31929597952,31927500800,1896939520,1899036672,yes,yes,NA,NA,184651,171266048,20187643904,13638893568,11023,36.422,20245.4,245006,1959530,43001.5,1767.02,50543.1,1230150,95525.2,41887.4,13932.2,2246.31,4005950,4026186.422,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,cc07de40cd35aeadab63152c5f2f10dc4f56fb9222aaa26458ed91aaa728b7e5,02eaaac9740fde6370cacb7703a965e4785f483da23c2d9795424acd326a0bee,59f400cb347774372eb190b498659466e648d9dbd39e8a742e65e27988f2c563,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,ResNet18,7,6,measured,classifier,1,1,0,20,21,276,276,70656,70656,4,4,92105212,90267132,4108304,4108304,4108096,4009730,4009720,14604.3,1149.09,14604.3,1149.09,11023,11023,26.061,11.779,19879,19880.9,247888,247929,1977810,1977990,42641.9,42411.6,1675.8,1756.74,48069.1,47641.1,1218760,1228090,94714.4,80395.6,39037.6,39085.5,12217.7,12215.2,238.535,233.003,64179485,65170738,65170738,64179485,27947717,25118384,25118384,27947717,256,256,21829,21829,21829,21829,142503936,142147584,31929597952,31927500800,1896939520,1899036672,yes,yes,NA,NA,175322,171266048,20187643904,13638893568,11023,26.061,19880.9,247929,1977990,42641.9,1756.74,48069.1,1228090,94714.4,39085.5,12217.7,238.535,4009730,4029635.061,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,cc07de40cd35aeadab63152c5f2f10dc4f56fb9222aaa26458ed91aaa728b7e5,02eaaac9740fde6370cacb7703a965e4785f483da23c2d9795424acd326a0bee,59f400cb347774372eb190b498659466e648d9dbd39e8a742e65e27988f2c563,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,ResNet18,7,7,measured,classifier,1,1,0,20,21,276,276,70656,70656,4,4,92105212,90267132,4108304,4108304,4108096,4034310,4034360,14644.2,1149.64,14644.2,1149.64,11023,11023,39.227,254.776,23383.8,23382.2,250468,250497,1974440,1974240,41293.8,41429.8,1783.03,1743.68,47052.3,47604.7,1228950,1225290,93427.4,80692.8,42698.1,42765.7,13136,11822.6,350.936,1663.54,64179485,65170738,65170738,64179485,27947717,25118384,25118384,27947717,256,256,21829,21829,21829,21829,142041088,142606336,31929597952,31927500800,1896939520,1899036672,yes,yes,NA,NA,181536,170983424,20187643904,13638893568,11023,254.776,23383.8,250497,1974440,41429.8,1783.03,47604.7,1228950,93427.4,42765.7,13136,1663.54,4034360,4057996.976,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,cc07de40cd35aeadab63152c5f2f10dc4f56fb9222aaa26458ed91aaa728b7e5,02eaaac9740fde6370cacb7703a965e4785f483da23c2d9795424acd326a0bee,59f400cb347774372eb190b498659466e648d9dbd39e8a742e65e27988f2c563,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,ResNet18,7,8,measured,classifier,1,1,0,20,21,276,276,70656,70656,4,4,92105212,90267132,4108304,4108304,4108096,3982980,3982920,14413.2,1147.75,14413.2,1147.75,11023,11023,39.858,320.039,19706.6,19772.7,246135,246166,1946890,1946850,41193.7,41190.4,1666.75,1693.05,48225.3,50812.7,1226880,1224870,94464.3,80765.6,37117.6,37171.6,11589.1,11991.1,583.337,177.38,64179485,65170738,65170738,64179485,27947717,25118384,25118384,27947717,256,256,21829,21829,21829,21829,141545472,143273984,31929597952,31927500800,1896939520,1899036672,yes,yes,NA,NA,179853,170790912,20187643904,13638893568,11023,320.039,19772.7,246166,1946890,41193.7,1693.05,50812.7,1226880,94464.3,37171.6,11991.1,583.337,3982980,4003012.739,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,cc07de40cd35aeadab63152c5f2f10dc4f56fb9222aaa26458ed91aaa728b7e5,02eaaac9740fde6370cacb7703a965e4785f483da23c2d9795424acd326a0bee,59f400cb347774372eb190b498659466e648d9dbd39e8a742e65e27988f2c563,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,ResNet18,7,9,measured,classifier,1,1,0,20,21,276,276,70656,70656,4,4,92105212,90267132,4108304,4108304,4108096,3936660,3936670,14768.5,1153.56,14768.5,1153.56,11023,11023,29.38,92.044,19563.6,19561.4,238774,238771,1910710,1910840,41359.2,41195.6,1749.63,1857.52,47313.7,47783.7,1221950,1225870,94267.9,81231.8,40861.3,40909.2,13252.2,11532,306.381,2024.04,64179485,65170738,65170738,64179485,27947717,25118384,25118384,27947717,256,256,21829,21829,21829,21829,141733888,142495744,31929597952,31927500800,1896939520,1899036672,yes,yes,NA,NA,170584,170913792,20187643904,13638893568,11023,92.044,19563.6,238774,1910840,41359.2,1857.52,47783.7,1225870,94267.9,40909.2,13252.2,2024.04,3936670,3956323.444,pass,FAIL_UNSUPPORTED,pass,pass
