schema_version,publication_date,model,source_layer,trial,sample_role,invocation_id,party0_gpu,party1_gpu,critical_party,party0_setup_included_us,party1_setup_included_us,preprocess_gpu,checker_gpu,same_physical_gpu,pre_protocol_quiescent,pre_checker_quiescent,post_checker_quiescent,comparison_order,status
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,0,warmup,15ce06232727429b4b6e673e408da1de,1,3,1,25486523.928,25486950.668,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,1,measured,bb27eaa366df9670023dd1d0eb9fcd04,1,3,0,25510322.381,25510189.242,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,2,measured,0c38d084435e4fee6a5e9c5fc1fb9557,1,3,0,25510642.442,25510563.207,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,3,measured,616f58cf898541545cdfa1b8730cfca4,1,3,1,25419194.056,25419387.057,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,4,measured,e4ab990d1492e69478270861d89c1207,1,3,0,25431513.142,25431445.558,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,5,measured,e6706875eb1e7563e4adc6cfc9ebe8de,1,3,0,25531469.729,25531395.673,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,6,measured,ab6bd126b5100153e25ae36b7a54f20a,1,3,1,25373757.819,25373777.329,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,7,measured,2c114dd91789dce7639ca47c1e83db98,1,3,1,25488837.284,25488925.949,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,8,measured,3b4569e16aca0b91d79bc7062c96750f,1,3,1,25497346.051,25497371.653,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,9,measured,ec93ca267075d7212a0f53dcfbcb17f3,1,3,1,25434023.997,25434232.766,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc4,10,measured,2940b3148fff9d303e0d3c3fea7bd35d,1,3,1,25490263.327,25490309.904,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,0,warmup,3b26ae6fb776e8c3007e943e6244ec82,1,3,0,1404534.704,1404207.333,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,1,measured,09e0ab6da7eb2afc53989081273a2617,1,3,1,1400168.568,1400328.771,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,2,measured,a626edba9708e3f373fdc73b6920e709,1,3,1,1413410.456,1413712.383,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,3,measured,e0329e8c24b8d6e153c870515f5c5dd7,1,3,1,1423861.487,1423866.114,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,4,measured,7404c93474988d2823e84f0bc8b1cdfe,1,3,1,1421626.188,1421643.948,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,5,measured,da851c0bd38f6d4b0b48b1e2699b28d2,1,3,1,1403184.233,1403304.75,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,6,measured,a7ada4288768c93df8e1bd562e0ea7e2,1,3,0,1395937.464,1395929.652,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,7,measured,90cda25157d6ea0840877eb1e32504b1,1,3,0,1436941.308,1436917.459,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,8,measured,e3fb3ba829ac95188d7471cd7b506042,1,3,1,1390395.194,1390674.057,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,9,measured,e2cda19199d1952c728f53a919593268,1,3,1,1426948.417,1426996.312,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN2,fc5,10,measured,c2af90e9ee3d2976aa1b516bc967ede2,1,3,0,1417065.906,1417061.339,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN3,fc5,0,warmup,c1a39973a43ca8730e810850067aac40,1,3,1,918393.822,918484.494,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN3,fc5,1,measured,f9dc168635e8073ae50c1aef154cc388,1,3,1,907946.077,908144.963,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN3,fc5,2,measured,bc4b0b42cbcd0d25a81a0b17327c435b,1,3,0,911556.873,911533.819,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN3,fc5,3,measured,78f2d2da6d9b71d2f5825c2c3839ea8b,1,3,1,879626.128,879641.843,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN3,fc5,4,measured,8f5405bc7186aad16d8dc8a46baae490,1,3,0,925195.202,925184.351,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN3,fc5,5,measured,760260fe53f28efef6cdc4be2e36f6bb,1,3,1,880089.81,880106.265,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN3,fc5,6,measured,f3afea605adf12698bddfbcbcb8f6f12,1,3,1,934164.445,934417.131,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN3,fc5,7,measured,509a3bc1b71289c825bf0ab718c81692,1,3,0,894856.05,894823.04,1,1,yes,yes,yes,yes,protocol_then_dealer,pass
ringlpn.controlled-fc-ab.v1,2026-08-10,CNN3,fc5,8,measured,372fd3f27ceb3eb5224dcc08c03ceb05,1,3,1,901659.969,901674.601,3,3,yes,yes,yes,yes,protocol_then_dealer,pass
