schema_version,source_schema_version,publication_date,manifest_sha256,workload_manifest_sha256,raw_trials_sha256,binary_sha256,environment_sha256,result_schema_sha256,model,model_order,trial,sample_role,workload,expected_executable_layers,retained_layer_rows,failed_layer_rows,unsupported_convolution_layers,unsupported_truncation_layers,p0_ring_oles_total,p1_ring_oles_total,p0_dpf_trees_total,p1_dpf_trees_total,p0_public_a_seed_words_total,p1_public_a_seed_words_total,p0_protocol_bytes_total,p1_protocol_bytes_total,p0_record_bytes_total,p1_record_bytes_total,final_payload_bytes_per_party_total,p0_total_us_total,p1_total_us_total,matched_dealer_keygen_us_total,checker_two_share_online_us_total,stock_gpuKeygenMatmul_two_party_sequential_us_total,unchanged_gpuMatmulBeaver_two_share_sequential_us_total,p0_protocol_dependency_rounds_total,p1_protocol_dependency_rounds_total,p0_preflight_us_total,p1_preflight_us_total,p0_ot_setup_us_total,p1_ot_setup_us_total,p0_dpf_phase_a_us_total,p1_dpf_phase_a_us_total,p0_dpf_phase_b_us_total,p1_dpf_phase_b_us_total,p0_dpf_phase_c_us_total,p1_dpf_phase_c_us_total,p0_spfss_grouping_us_total,p1_spfss_grouping_us_total,p0_public_polynomial_exchange_us_total,p1_public_polynomial_exchange_us_total,p0_gpu_ringlpn_expansion_us_total,p1_gpu_ringlpn_expansion_us_total,p0_derandomization_openings_us_total,p1_derandomization_openings_us_total,p0_conversion_us_total,p1_conversion_us_total,p0_serialization_us_total,p1_serialization_us_total,p0_commit_us_total,p1_commit_us_total,p0_transport_straight_bytes_sent_total,p1_transport_straight_bytes_sent_total,p0_transport_straight_bytes_received_total,p1_transport_straight_bytes_received_total,p0_transport_reversed_bytes_sent_total,p1_transport_reversed_bytes_sent_total,p0_transport_reversed_bytes_received_total,p1_transport_reversed_bytes_received_total,p0_base_ots_total,p1_base_ots_total,p0_base_ot_setup_bytes_sent_total,p1_base_ot_setup_bytes_sent_total,p0_base_ot_setup_bytes_received_total,p1_base_ot_setup_bytes_received_total,p0_peak_host_rss_bytes_max,p1_peak_host_rss_bytes_max,p0_peak_gpu_bytes_max,p1_peak_gpu_bytes_max,p0_min_gpu_free_bytes_min,p1_min_gpu_free_bytes_min,p0_transport_bytes_include_base_ot,p1_transport_bytes_include_base_ot,p0_base_ot_setup_dependency_rounds,p1_base_ot_setup_dependency_rounds,checker_us_total,checker_peak_host_rss_bytes_max,checker_peak_gpu_bytes_max,checker_min_gpu_free_bytes_min,critical_path_protocol_dependency_rounds_total,critical_path_preflight_us_total,critical_path_ot_setup_us_total,critical_path_dpf_phase_a_us_total,critical_path_dpf_phase_b_us_total,critical_path_dpf_phase_c_us_total,critical_path_spfss_grouping_us_total,critical_path_public_polynomial_exchange_us_total,critical_path_gpu_ringlpn_expansion_us_total,critical_path_derandomization_openings_us_total,critical_path_conversion_us_total,critical_path_serialization_us_total,critical_path_commit_us_total,critical_path_preprocess_us_total,critical_path_setup_included_us_total,execution_status,full_model_status,workload_status,status
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,1,0,warmup,all-fc,2,2,0,2,4,1840,1840,471040,471040,8,8,665112560,637640176,690400,690400,689984,26841260,26841270,30676.3,986.735,30676.3,986.735,72278,72278,403.732,495.801,49394.9,49392.2,1746038.7,1746107.3,14086154,14086379,240250.8,239689.5,13493.512,13697.039,322246.4,321958.3,8081704,8122924,601197.1,511725.1,513706.5,513751.7,2277.051,2223.792,290.047,333.491,451810866,469827212,469827212,451810866,213345674,167856944,167856944,213345674,512,512,43658,43658,43658,43658,304590848,299876352,431095808,431095808,33395441664,33395441664,yes,yes,NA,NA,334229,134610944,433192960,33393344512,72278,821.072,49404.3,1746108.7,14086379,240250.8,13697.039,323377.3,8122924,601197.1,513751.7,2277.051,339.088,26841270,26891485.372,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,1,1,measured,all-fc,2,2,0,2,4,1840,1840,471040,471040,8,8,665112560,637640176,690400,690400,689984,26870750,26870750,30569.6,978.595,30569.6,978.595,72278,72278,251.349,283.113,39489.6,39484.9,1736344.5,1736502.4,14097252,14099258,245593.6,243203,13942.843,14404.451,318320.7,328806.3,8093324,8151483,606316.1,515479,515149.7,515127.5,2363.021,2421.873,361.853,302.978,451810866,469827212,469827212,451810866,213345674,167856944,167856944,213345674,512,512,43658,43658,43658,43658,305848320,300081152,431095808,431095808,33395441664,33395441664,yes,yes,NA,NA,340783,135483392,433192960,33393344512,72278,409.652,39491.5,1736502.4,14099258,245593.6,14404.451,328806.3,8151483,606316.1,515170.7,2421.873,361.853,26870750,26910651.152,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,1,2,measured,all-fc,2,2,0,2,4,1840,1840,471040,471040,8,8,665112560,637640176,690400,690400,689984,26886690,26886590,30290.6,993.250,30290.6,993.250,72278,72278,89.198,384.190,37273.7,37301.4,1739112.2,1739566.6,14103750,14106019,243969,241070.7,13492.137,14125.346,322077.7,324842.4,8091756,8145888,600635.4,515602.7,524918.5,525029.8,2405.53,2265.409,341.392,471.924,451810866,469827212,469827212,451810866,213345674,167856944,167856944,213345674,512,512,43658,43658,43658,43658,304996352,298344448,431095808,431095808,33395441664,33395441664,yes,yes,NA,NA,339051,134823936,433192960,33393344512,72278,385.125,37301.4,1739566.6,14106450,243974.7,14196.837,325151.7,8150376,600635.4,525029.8,2408.999,476.909,26886690,26924354.825,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,1,3,measured,all-fc,2,2,0,2,4,1840,1840,471040,471040,8,8,665112560,637640176,690400,690400,689984,26803710,26803700,30967.8,992.830,30967.8,992.830,72278,72278,77.143,264.271,39268.4,39288.9,1742538.8,1742559.6,14006770,14007802,241211.1,239834.7,13634.007,13986.996,320833.9,323549.3,8065859,8124795,597464.9,511858.1,525734.1,525775.2,2587.523,2592.36,375.059,366.024,451810866,469827212,469827212,451810866,213345674,167856944,167856944,213345674,512,512,43658,43658,43658,43658,305975296,299958272,431095808,431095808,33395441664,33395441664,yes,yes,NA,NA,332193,134393856,433192960,33393344512,72278,264.271,39288.9,1742559.6,14007802,241211.1,13986.996,326823.9,8124795,597464.9,525775.2,2592.36,375.059,26803710,26843253.171,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,1,4,measured,all-fc,2,2,0,2,4,1840,1840,471040,471040,8,8,665112560,637640176,690400,690400,689984,26813740,26813730,30569.8,983.238,30569.8,983.238,72278,72278,153.830,104.206,39245.5,39255.3,1737201.8,1737198.3,14004234,14004695,240418.2,240417.8,13282.619,14213.237,322494,321175.3,8120043,8143043,600377.7,514853.6,527302.8,527285.6,2464.115,2505.226,455.018,395.336,451810866,469827212,469827212,451810866,213345674,167856944,167856944,213345674,512,512,43658,43658,43658,43658,306573312,299069440,431095808,431095808,33395441664,33395441664,yes,yes,NA,NA,331565,135008256,433192960,33393344512,72278,173.690,39255.3,1737211.8,14004734,240446.8,14217.619,325981,8144163,600377.7,527312.6,2507.925,455.018,26813740,26853157.090,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,1,5,measured,all-fc,2,2,0,2,4,1840,1840,471040,471040,8,8,665112560,637640176,690400,690400,689984,26894900,26894810,30816.9,987.211,30816.9,987.211,72278,72278,85.562,212.223,39668.4,39678.2,1739632.7,1739781.7,14119001,14121323,241781.3,239250.3,13445.01,14277.678,316803.6,325403.1,8095012,8126808,597870.4,511560,518286.9,518386.2,2315.686,2224.202,410.905,489.838,451810866,469827212,469827212,451810866,213345674,167856944,167856944,213345674,512,512,43658,43658,43658,43658,305610752,298496000,431095808,431095808,33395441664,33395441664,yes,yes,NA,NA,333324,135049216,433192960,33393344512,72278,212.223,39678.2,1739792.7,14121401,241841.3,14320.31,325403.1,8126808,597870.4,518386.2,2320.592,494.087,26894910,26934774.479,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,1,6,measured,all-fc,2,2,0,2,4,1840,1840,471040,471040,8,8,665112560,637640176,690400,690400,689984,26728430,26728490,30129.3,980.654,30129.3,980.654,72278,72278,69.483,76.981,41195.8,41140.0,1747492.2,1747419.3,14000375,14002222,241296.8,239306.5,13121.325,13693.377,319719.4,322774,8088529,8125214,596381.5,511174.4,518996.8,519126.5,2475.552,2471.625,309.571,304.853,451810866,469827212,469827212,451810866,213345674,167856944,167856944,213345674,512,512,43658,43658,43658,43658,304168960,298872832,431095808,431095808,33395441664,33395441664,yes,yes,NA,NA,334635,134545408,433192960,33393344512,72278,84.093,41200.7,1747499.3,14002222,241296.8,13693.377,325689.4,8125214,596381.5,519126.5,2475.552,309.571,26728490,26769714.793,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,1,7,measured,all-fc,2,2,0,2,4,1840,1840,471040,471040,8,8,665112560,637640176,690400,690400,689984,26878960,26878990,30647.1,984.967,30647.1,984.967,72278,72278,78.092,171.108,46740.5,46682.3,1749999.4,1749842.6,14063503,14065729,240779,238354.7,13480.036,14282.253,317390,327632.7,8099893,8141446,599338.8,513978.2,507948,507982.1,2619.327,2632.313,364.402,339.309,451810866,469827212,469827212,451810866,213345674,167856944,167856944,213345674,512,512,43658,43658,43658,43658,306089984,299028480,431095808,431095808,33395441664,33395441664,yes,yes,NA,NA,336796,134705152,433192960,33393344512,72278,188.457,46740.5,1750002.6,14065729,240779,14282.253,327632.7,8141446,599338.8,507982.1,2632.313,364.402,26878990,26925867.257,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,1,8,measured,all-fc,2,2,0,2,4,1840,1840,471040,471040,8,8,665112560,637640176,690400,690400,689984,26838700,26838710,30783.9,986.197,30783.9,986.197,72278,72278,83.245,379.010,48958.0,48956.7,1736748.7,1736812.6,14020322,14021793,238678.1,236998,13822.039,14144.742,317684.3,319426.7,8104529,8143443,598067.3,512949.8,525302.8,525391.1,2348.034,2346.176,328.215,314.931,451810866,469827212,469827212,451810866,213345674,167856944,167856944,213345674,512,512,43658,43658,43658,43658,306180096,298373120,431095808,431095808,33395441664,33395441664,yes,yes,NA,NA,336858,135147520,433192960,33393344512,72278,379.010,48958.9,1736818.7,14021793,238678.1,14144.742,319426.7,8143443,598067.3,525391.1,2351.606,328.215,26838710,26888045.710,pass,FAIL_UNSUPPORTED,pass,pass
ringlpn.two-party-fc-model-scale.aggregate.v3,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,1,9,measured,all-fc,2,2,0,2,4,1840,1840,471040,471040,8,8,665112560,637640176,690400,690400,689984,26819620,26817920,29318.7,987.925,29318.7,987.925,72278,72278,82.114,322.678,41270.3,42986.4,1739298,1739415,14040342,14041302,245905.8,244795.1,13631.209,13944.268,320770,323341.5,8109779,8128655,600957,514243,515012.5,515038.4,2458.157,2461.63,323.897,315.181,451810866,469827212,469827212,451810866,213345674,167856944,167856944,213345674,512,512,43658,43658,43658,43658,306728960,299782144,431095808,431095808,33395441664,33395441664,yes,yes,NA,NA,335539,135032832,433192960,33393344512,72278,322.678,42986.4,1739428,14041302,245905.8,13944.268,325091,8128655,600957,515038.4,2461.63,323.897,26819620,26861229.078,pass,FAIL_UNSUPPORTED,pass,pass
