schema_version,source_schema_version,publication_date,manifest_sha256,workload_manifest_sha256,raw_trials_sha256,binary_sha256,environment_sha256,result_schema_sha256,model,workload,population,metric,n,mean,sample_stdev,median,q1,q3,iqr,mean_ci95_low,mean_ci95_high,mean_ci95_method,quartile_method,min,max,unit
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,party0_preprocess_us,10,26839142,50304.567895083952416644687919775348145228642951343,26847310,26815210,26876907.5,61697.5,26803156.27995438161758590377155644607072049334539,26875127.72004561838241409622844355392927950665461,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,26728430,26894900,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,party1_preprocess_us,10,26838951,50344.688222514817975526812317720511324132248099121,26847265,26814777.5,26876930,62152.5,26802936.579601084143697824412630313145887120843859,26874965.420398915856302175587369686854112879156141,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,26728490,26894810,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_preprocess_us,10,26839153,50293.758625366892205419575129003087378150835301762,26847315,26815210,26876930,61720,26803175.012440122216157901367968208840928973949949,26875130.987559877783842098632031791159071026050051,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,26728490,26894910,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,public_a_seed_words_total,10,16,0,16,16,16,0,16,16,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,16,16,uint64_words
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,application_bytes_total,10,1302752736,0,1302752736,1302752736,1302752736,0,1302752736,1302752736,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,1302752736,1302752736,bytes
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,matched_dealer_keygen_us,10,30466.97,471.73662626041191837385675913619151548341655337042,30572.9,30360.35,30749.7,389.35,30129.509946605312916827232486951269617382754747422,30804.430053394687083172767513048730382617245252578,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,29318.7,30967.8,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,checker_two_share_online_us,10,985.9918,4.6836803857175775007585875317963882441334492278394,985.624,983.67025,987.7465,4.07625,982.64129689071759428282303711549151979299382989371,989.34230310928240571717696288450848020700617010629,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,978.595,993.25,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,preprocess_over_matched_dealer_ratio,10,881.11381132716856326459056602651572587185193689255,13.557274908195938723356569377504146771340198341322,877.73250615531232349137602034251668858372206120638,873.81147047732887429502389015407296536452410837526,885.09520025963951122780568706063092294965945805297,11.28372978231063693278179690655795758513534967771,871.41552109544781800902283385466408214389742944211,890.81210155888930852015829819836736959980644434299,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,865.53484587216398969251932652626276325731889252708,914.76156855522243482828365514159904770675371008947,ratio
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_setup_included_us,10,26881842.3365,50965.308978523562954742044748920012910688331519018,26897710.76,26855175.087,26920928.90675,65753.81975,26845383.950757284554394311935914550048820322263116,26918300.722242715445605688064085449951179677736884,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,26769714.793,26934774.479,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,setup_included_preprocess_over_matched_dealer_ratio,10,882.51493080506075425785777253582370688809814152439,13.555629727310321817025405615043230274554896577432,879.29709858246586334235736626174873186825378060438,875.12483717348876467912686731974253322220688166986,886.44771116106585744719021615601543279586097705136,11.3228739875770927680633488362728995736540953815,872.81781746484810598693652157425297978757229967992,892.21204414527340252877902349739443398862398336886,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,866.81175837482804719741150485342839982175033421812,916.18076783759170768144563026327906762578149781539,ratio
