schema,status,generated_utc,script_sha256,paper_title,paper_eprint,paper_doi,paper_revision,paper_archive_url,paper_pdf_sha256,formula_pin,author_artifact,calculator_executable,attack_implementation_executable,candidate,distribution_model,matrix_model,ring_n,c,t_per_polynomial,N,K,h,beta,limb,prime,classical_quantum_scope,optimization,f_bar,u_bar,g,n0,w,v,m1,z,omega,feasible_points_evaluated,success_semantics,log2_success_probability_per_iteration,log2_expected_iterations,log2_T1_field_operations,log2_T2_field_operations,log2_T3_field_operations_per_enumeration,log2_time_field_operations_baseline,orbit_treatment,orbit_size,orbit_assumption,log2_orbit_adjustment,log2_time_field_operations_reported,memory_semantics,log2_space_expression_field_elements,data_semantics,claim_scope
hybrid-rsd-asiacrypt2025-direct-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,2026-08-04,001c7c68fe53ec5f266631500f72e835940f09586aea75f134f4e0e2b87dc8aa,A Hybrid Algorithm for the Regular Syndrome Decoding Problem,2025/1284,10.1007/978-981-95-5113-2_15,ePrint PDF captured 2025-09-07; landing page reports last of 2 revisions 2025-09-09,https://web.archive.org/web/20250907044313id_/https://eprint.iacr.org/2025/1284.pdf,a8d050905021bc737537d054ed33de643512d017a4d3d5d893167d844b6d494a,ePrint-2025-1284-Theorem-1-equations-9-13,not located as of 2026-08-04,yes,no,n20_c4_t16,"direct regular-SD: h blocks, one nonzero per beta block; iid uniform F_p^* payloads",Theorem 1 input H; full-rank Macaulay heuristic; no structured-code reduction,1048576,4,16,4194304,3145728,64,65536,p0,4611686018326724609,classical F_p-operation formula only; paper gives no quantum cost,"exhaustive admissible integer (f_bar,u_bar,g), equation (9), omega=2.8",64,49136,0,960,0,960,8605145664,960,2.8,1928034,per independent puncturing iteration; reported time uses expected 1/P iterations,-127.915505759942,127.915505759942,59.170804881163,52.691191233666,31.441832304755,187.102387256648,none,1,none,-0.000000000000,187.102387256648,"log2 of expression inside Theorem 1 big-O, in F_p elements; not bytes or a concrete bound",51.822429345957,one H in F_p^((N-K)xN) and syndrome; formula does not price acquisition/materialization,diagnostic direct-RSD formula instantiation; not a concrete Ring-LPN claim or parameter pin
hybrid-rsd-asiacrypt2025-direct-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,2026-08-04,001c7c68fe53ec5f266631500f72e835940f09586aea75f134f4e0e2b87dc8aa,A Hybrid Algorithm for the Regular Syndrome Decoding Problem,2025/1284,10.1007/978-981-95-5113-2_15,ePrint PDF captured 2025-09-07; landing page reports last of 2 revisions 2025-09-09,https://web.archive.org/web/20250907044313id_/https://eprint.iacr.org/2025/1284.pdf,a8d050905021bc737537d054ed33de643512d017a4d3d5d893167d844b6d494a,ePrint-2025-1284-Theorem-1-equations-9-13,not located as of 2026-08-04,yes,no,n20_c4_t16,"direct regular-SD: h blocks, one nonzero per beta block; iid uniform F_p^* payloads",Theorem 1 input H; full-rank Macaulay heuristic; no structured-code reduction,1048576,4,16,4194304,3145728,64,65536,p0,4611686018326724609,classical F_p-operation formula only; paper gives no quantum cost,"exhaustive admissible integer (f_bar,u_bar,g), equation (9), omega=2.8",64,49136,0,960,0,960,8605145664,960,2.8,1928034,per independent puncturing iteration; reported time uses expected 1/P iterations,-127.915505759942,127.915505759942,59.170804881163,52.691191233666,31.441832304755,187.102387256648,sqrt_full_orbit_heuristic_sensitivity,1048576,non-paper heuristic; no end-to-end decoder proof,-10.000000000000,177.102387256648,"log2 of expression inside Theorem 1 big-O, in F_p elements; not bytes or a concrete bound",51.822429345957,one H in F_p^((N-K)xN) and syndrome; formula does not price acquisition/materialization,diagnostic direct-RSD formula instantiation; not a concrete Ring-LPN claim or parameter pin
hybrid-rsd-asiacrypt2025-direct-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,2026-08-04,001c7c68fe53ec5f266631500f72e835940f09586aea75f134f4e0e2b87dc8aa,A Hybrid Algorithm for the Regular Syndrome Decoding Problem,2025/1284,10.1007/978-981-95-5113-2_15,ePrint PDF captured 2025-09-07; landing page reports last of 2 revisions 2025-09-09,https://web.archive.org/web/20250907044313id_/https://eprint.iacr.org/2025/1284.pdf,a8d050905021bc737537d054ed33de643512d017a4d3d5d893167d844b6d494a,ePrint-2025-1284-Theorem-1-equations-9-13,not located as of 2026-08-04,yes,no,n20_c4_t16,"direct regular-SD: h blocks, one nonzero per beta block; iid uniform F_p^* payloads",Theorem 1 input H; full-rank Macaulay heuristic; no structured-code reduction,1048576,4,16,4194304,3145728,64,65536,p1,4611686018309947393,classical F_p-operation formula only; paper gives no quantum cost,"exhaustive admissible integer (f_bar,u_bar,g), equation (9), omega=2.8",64,49136,0,960,0,960,8605145664,960,2.8,1928034,per independent puncturing iteration; reported time uses expected 1/P iterations,-127.915505759942,127.915505759942,59.170804881163,52.691191233666,31.441832304755,187.102387256648,none,1,none,-0.000000000000,187.102387256648,"log2 of expression inside Theorem 1 big-O, in F_p elements; not bytes or a concrete bound",51.822429345957,one H in F_p^((N-K)xN) and syndrome; formula does not price acquisition/materialization,diagnostic direct-RSD formula instantiation; not a concrete Ring-LPN claim or parameter pin
hybrid-rsd-asiacrypt2025-direct-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,2026-08-04,001c7c68fe53ec5f266631500f72e835940f09586aea75f134f4e0e2b87dc8aa,A Hybrid Algorithm for the Regular Syndrome Decoding Problem,2025/1284,10.1007/978-981-95-5113-2_15,ePrint PDF captured 2025-09-07; landing page reports last of 2 revisions 2025-09-09,https://web.archive.org/web/20250907044313id_/https://eprint.iacr.org/2025/1284.pdf,a8d050905021bc737537d054ed33de643512d017a4d3d5d893167d844b6d494a,ePrint-2025-1284-Theorem-1-equations-9-13,not located as of 2026-08-04,yes,no,n20_c4_t16,"direct regular-SD: h blocks, one nonzero per beta block; iid uniform F_p^* payloads",Theorem 1 input H; full-rank Macaulay heuristic; no structured-code reduction,1048576,4,16,4194304,3145728,64,65536,p1,4611686018309947393,classical F_p-operation formula only; paper gives no quantum cost,"exhaustive admissible integer (f_bar,u_bar,g), equation (9), omega=2.8",64,49136,0,960,0,960,8605145664,960,2.8,1928034,per independent puncturing iteration; reported time uses expected 1/P iterations,-127.915505759942,127.915505759942,59.170804881163,52.691191233666,31.441832304755,187.102387256648,sqrt_full_orbit_heuristic_sensitivity,1048576,non-paper heuristic; no end-to-end decoder proof,-10.000000000000,177.102387256648,"log2 of expression inside Theorem 1 big-O, in F_p elements; not bytes or a concrete bound",51.822429345957,one H in F_p^((N-K)xN) and syndrome; formula does not price acquisition/materialization,diagnostic direct-RSD formula instantiation; not a concrete Ring-LPN claim or parameter pin
hybrid-rsd-asiacrypt2025-direct-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,2026-08-04,001c7c68fe53ec5f266631500f72e835940f09586aea75f134f4e0e2b87dc8aa,A Hybrid Algorithm for the Regular Syndrome Decoding Problem,2025/1284,10.1007/978-981-95-5113-2_15,ePrint PDF captured 2025-09-07; landing page reports last of 2 revisions 2025-09-09,https://web.archive.org/web/20250907044313id_/https://eprint.iacr.org/2025/1284.pdf,a8d050905021bc737537d054ed33de643512d017a4d3d5d893167d844b6d494a,ePrint-2025-1284-Theorem-1-equations-9-13,not located as of 2026-08-04,yes,no,n20_c4_t32,"direct regular-SD: h blocks, one nonzero per beta block; iid uniform F_p^* payloads",Theorem 1 input H; full-rank Macaulay heuristic; no structured-code reduction,1048576,4,32,4194304,3145728,128,32768,p0,4611686018326724609,classical F_p-operation formula only; paper gives no quantum cost,"exhaustive admissible integer (f_bar,u_bar,g), equation (9), omega=2.8",49,24567,0,1103,0,1103,4303483000,1103,2.8,2366698,per independent puncturing iteration; reported time uses expected 1/P iterations,-255.805852830010,255.805852830010,59.171008267483,53.811387688313,32.002626637960,315.011577307669,none,1,none,-0.000000000000,315.011577307669,"log2 of expression inside Theorem 1 big-O, in F_p elements; not bytes or a concrete bound",51.223625552624,one H in F_p^((N-K)xN) and syndrome; formula does not price acquisition/materialization,diagnostic direct-RSD formula instantiation; not a concrete Ring-LPN claim or parameter pin
hybrid-rsd-asiacrypt2025-direct-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,2026-08-04,001c7c68fe53ec5f266631500f72e835940f09586aea75f134f4e0e2b87dc8aa,A Hybrid Algorithm for the Regular Syndrome Decoding Problem,2025/1284,10.1007/978-981-95-5113-2_15,ePrint PDF captured 2025-09-07; landing page reports last of 2 revisions 2025-09-09,https://web.archive.org/web/20250907044313id_/https://eprint.iacr.org/2025/1284.pdf,a8d050905021bc737537d054ed33de643512d017a4d3d5d893167d844b6d494a,ePrint-2025-1284-Theorem-1-equations-9-13,not located as of 2026-08-04,yes,no,n20_c4_t32,"direct regular-SD: h blocks, one nonzero per beta block; iid uniform F_p^* payloads",Theorem 1 input H; full-rank Macaulay heuristic; no structured-code reduction,1048576,4,32,4194304,3145728,128,32768,p0,4611686018326724609,classical F_p-operation formula only; paper gives no quantum cost,"exhaustive admissible integer (f_bar,u_bar,g), equation (9), omega=2.8",49,24567,0,1103,0,1103,4303483000,1103,2.8,2366698,per independent puncturing iteration; reported time uses expected 1/P iterations,-255.805852830010,255.805852830010,59.171008267483,53.811387688313,32.002626637960,315.011577307669,sqrt_full_orbit_heuristic_sensitivity,1048576,non-paper heuristic; no end-to-end decoder proof,-10.000000000000,305.011577307669,"log2 of expression inside Theorem 1 big-O, in F_p elements; not bytes or a concrete bound",51.223625552624,one H in F_p^((N-K)xN) and syndrome; formula does not price acquisition/materialization,diagnostic direct-RSD formula instantiation; not a concrete Ring-LPN claim or parameter pin
hybrid-rsd-asiacrypt2025-direct-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,2026-08-04,001c7c68fe53ec5f266631500f72e835940f09586aea75f134f4e0e2b87dc8aa,A Hybrid Algorithm for the Regular Syndrome Decoding Problem,2025/1284,10.1007/978-981-95-5113-2_15,ePrint PDF captured 2025-09-07; landing page reports last of 2 revisions 2025-09-09,https://web.archive.org/web/20250907044313id_/https://eprint.iacr.org/2025/1284.pdf,a8d050905021bc737537d054ed33de643512d017a4d3d5d893167d844b6d494a,ePrint-2025-1284-Theorem-1-equations-9-13,not located as of 2026-08-04,yes,no,n20_c4_t32,"direct regular-SD: h blocks, one nonzero per beta block; iid uniform F_p^* payloads",Theorem 1 input H; full-rank Macaulay heuristic; no structured-code reduction,1048576,4,32,4194304,3145728,128,32768,p1,4611686018309947393,classical F_p-operation formula only; paper gives no quantum cost,"exhaustive admissible integer (f_bar,u_bar,g), equation (9), omega=2.8",49,24567,0,1103,0,1103,4303483000,1103,2.8,2366698,per independent puncturing iteration; reported time uses expected 1/P iterations,-255.805852830010,255.805852830010,59.171008267483,53.811387688313,32.002626637960,315.011577307669,none,1,none,-0.000000000000,315.011577307669,"log2 of expression inside Theorem 1 big-O, in F_p elements; not bytes or a concrete bound",51.223625552624,one H in F_p^((N-K)xN) and syndrome; formula does not price acquisition/materialization,diagnostic direct-RSD formula instantiation; not a concrete Ring-LPN claim or parameter pin
hybrid-rsd-asiacrypt2025-direct-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,2026-08-04,001c7c68fe53ec5f266631500f72e835940f09586aea75f134f4e0e2b87dc8aa,A Hybrid Algorithm for the Regular Syndrome Decoding Problem,2025/1284,10.1007/978-981-95-5113-2_15,ePrint PDF captured 2025-09-07; landing page reports last of 2 revisions 2025-09-09,https://web.archive.org/web/20250907044313id_/https://eprint.iacr.org/2025/1284.pdf,a8d050905021bc737537d054ed33de643512d017a4d3d5d893167d844b6d494a,ePrint-2025-1284-Theorem-1-equations-9-13,not located as of 2026-08-04,yes,no,n20_c4_t32,"direct regular-SD: h blocks, one nonzero per beta block; iid uniform F_p^* payloads",Theorem 1 input H; full-rank Macaulay heuristic; no structured-code reduction,1048576,4,32,4194304,3145728,128,32768,p1,4611686018309947393,classical F_p-operation formula only; paper gives no quantum cost,"exhaustive admissible integer (f_bar,u_bar,g), equation (9), omega=2.8",49,24567,0,1103,0,1103,4303483000,1103,2.8,2366698,per independent puncturing iteration; reported time uses expected 1/P iterations,-255.805852830010,255.805852830010,59.171008267483,53.811387688313,32.002626637960,315.011577307669,sqrt_full_orbit_heuristic_sensitivity,1048576,non-paper heuristic; no end-to-end decoder proof,-10.000000000000,305.011577307669,"log2 of expression inside Theorem 1 big-O, in F_p elements; not bytes or a concrete bound",51.223625552624,one H in F_p^((N-K)xN) and syndrome; formula does not price acquisition/materialization,diagnostic direct-RSD formula instantiation; not a concrete Ring-LPN claim or parameter pin
hybrid-rsd-asiacrypt2025-direct-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,2026-08-04,001c7c68fe53ec5f266631500f72e835940f09586aea75f134f4e0e2b87dc8aa,A Hybrid Algorithm for the Regular Syndrome Decoding Problem,2025/1284,10.1007/978-981-95-5113-2_15,ePrint PDF captured 2025-09-07; landing page reports last of 2 revisions 2025-09-09,https://web.archive.org/web/20250907044313id_/https://eprint.iacr.org/2025/1284.pdf,a8d050905021bc737537d054ed33de643512d017a4d3d5d893167d844b6d494a,ePrint-2025-1284-Theorem-1-equations-9-13,not located as of 2026-08-04,yes,no,n20_c4_t64,"direct regular-SD: h blocks, one nonzero per beta block; iid uniform F_p^* payloads",Theorem 1 input H; full-rank Macaulay heuristic; no structured-code reduction,1048576,4,64,4194304,3145728,256,16384,p0,4611686018326724609,classical F_p-operation formula only; paper gives no quantum cost,"exhaustive admissible integer (f_bar,u_bar,g), equation (9), omega=2.8",242,12282,0,1294,0,1294,2152262214,1294,2.8,3006622,per independent puncturing iteration; reported time uses expected 1/P iterations,-511.544508274096,511.544508274096,59.171123527391,55.100037065484,32.647637833345,570.799008667888,none,1,none,-0.000000000000,570.799008667888,"log2 of expression inside Theorem 1 big-O, in F_p elements; not bytes or a concrete bound",50.685300240106,one H in F_p^((N-K)xN) and syndrome; formula does not price acquisition/materialization,diagnostic direct-RSD formula instantiation; not a concrete Ring-LPN claim or parameter pin
hybrid-rsd-asiacrypt2025-direct-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,2026-08-04,001c7c68fe53ec5f266631500f72e835940f09586aea75f134f4e0e2b87dc8aa,A Hybrid Algorithm for the Regular Syndrome Decoding Problem,2025/1284,10.1007/978-981-95-5113-2_15,ePrint PDF captured 2025-09-07; landing page reports last of 2 revisions 2025-09-09,https://web.archive.org/web/20250907044313id_/https://eprint.iacr.org/2025/1284.pdf,a8d050905021bc737537d054ed33de643512d017a4d3d5d893167d844b6d494a,ePrint-2025-1284-Theorem-1-equations-9-13,not located as of 2026-08-04,yes,no,n20_c4_t64,"direct regular-SD: h blocks, one nonzero per beta block; iid uniform F_p^* payloads",Theorem 1 input H; full-rank Macaulay heuristic; no structured-code reduction,1048576,4,64,4194304,3145728,256,16384,p0,4611686018326724609,classical F_p-operation formula only; paper gives no quantum cost,"exhaustive admissible integer (f_bar,u_bar,g), equation (9), omega=2.8",242,12282,0,1294,0,1294,2152262214,1294,2.8,3006622,per independent puncturing iteration; reported time uses expected 1/P iterations,-511.544508274096,511.544508274096,59.171123527391,55.100037065484,32.647637833345,570.799008667888,sqrt_full_orbit_heuristic_sensitivity,1048576,non-paper heuristic; no end-to-end decoder proof,-10.000000000000,560.799008667888,"log2 of expression inside Theorem 1 big-O, in F_p elements; not bytes or a concrete bound",50.685300240106,one H in F_p^((N-K)xN) and syndrome; formula does not price acquisition/materialization,diagnostic direct-RSD formula instantiation; not a concrete Ring-LPN claim or parameter pin
