ring_logn,n,c,per_poly_t,total_w,raw_points,conservative_bits,worst_prime,worst_degree,worst_model,meets_target,point_dpf_setup_slots,point_dpf_bootstrap_ok,point_dpf_net_slots,point_dpf_net_fraction,encoder_indep_setup_slots_placeholder,encoder_indep_bootstrap_ok
13,8192,2,8,16,256,26.940000,4611686018326724609,16,regular,no,768,yes,7424,90.625,12,yes
13,8192,2,16,32,1024,40.380000,4611686018326724609,32,regular,no,3072,yes,5120,62.500,12,yes
13,8192,2,32,64,4096,63.950000,4611686018326724609,64,regular,no,12288,no,-4096,-50.000,12,yes
13,8192,2,64,128,16384,108.660000,4611686018326724609,128,regular,no,49152,no,-40960,-500.000,12,yes
13,8192,2,128,256,65536,190.530000,4611686018326724609,256,regular,yes,196608,no,-188416,-2300.000,12,yes
13,8192,2,256,512,262144,355.390000,4611686018326724609,512,regular,yes,786432,no,-778240,-9500.000,12,yes
13,8192,4,8,32,1024,30.741436,4611686018326724609,8,exact,no,3072,yes,5120,62.500,48,yes
13,8192,4,16,64,4096,57.292931,4611686018326724609,16,exact,no,12288,no,-4096,-50.000,48,yes
13,8192,4,32,128,16384,111.244262,4611686018326724609,32,exact,no,49152,no,-40960,-500.000,48,yes
13,8192,4,64,256,65536,218.641111,4611686018326724609,64,exact,yes,196608,no,-188416,-2300.000,48,yes
13,8192,4,128,512,262144,432.931903,4611686018326724609,128,exact,yes,786432,no,-778240,-9500.000,48,yes
13,8192,4,256,1024,1048576,859.542989,4611686018326724609,256,exact,yes,3145728,no,-3137536,-38300.000,48,yes
13,8192,8,8,64,4096,57.292931,4611686018326724609,8,exact,no,12288,no,-4096,-50.000,192,yes
13,8192,8,16,128,16384,111.244262,4611686018326724609,16,exact,no,49152,no,-40960,-500.000,192,yes
13,8192,8,32,256,65536,218.641111,4611686018326724609,32,exact,yes,196608,no,-188416,-2300.000,192,yes
13,8192,8,64,512,262144,432.931903,4611686018326724609,64,exact,yes,786432,no,-778240,-9500.000,192,yes
13,8192,8,128,1024,1048576,859.542989,4611686018326724609,128,exact,yes,3145728,no,-3137536,-38300.000,192,yes
13,8192,8,256,2048,4194304,1713.731783,4611686018326724609,256,exact,yes,12582912,no,-12574720,-153500.000,192,yes
14,16384,2,8,16,256,26.940000,4611686018326724609,16,regular,no,768,yes,15616,95.312,12,yes
14,16384,2,16,32,1024,40.380000,4611686018326724609,32,regular,no,3072,yes,13312,81.250,12,yes
14,16384,2,32,64,4096,63.950000,4611686018326724609,64,regular,no,12288,yes,4096,25.000,12,yes
14,16384,2,64,128,16384,108.660000,4611686018326724609,128,regular,no,49152,no,-32768,-200.000,12,yes
14,16384,2,128,256,65536,190.530000,4611686018326724609,256,regular,yes,196608,no,-180224,-1100.000,12,yes
14,16384,2,256,512,262144,355.390000,4611686018326724609,512,regular,yes,786432,no,-770048,-4700.000,12,yes
14,16384,4,8,32,1024,30.741436,4611686018326724609,8,exact,no,3072,yes,13312,81.250,48,yes
14,16384,4,16,64,4096,57.292931,4611686018326724609,16,exact,no,12288,yes,4096,25.000,48,yes
14,16384,4,32,128,16384,111.244262,4611686018326724609,32,exact,no,49152,no,-32768,-200.000,48,yes
14,16384,4,64,256,65536,218.641111,4611686018326724609,64,exact,yes,196608,no,-180224,-1100.000,48,yes
14,16384,4,128,512,262144,432.931903,4611686018326724609,128,exact,yes,786432,no,-770048,-4700.000,48,yes
14,16384,4,256,1024,1048576,859.542989,4611686018326724609,256,exact,yes,3145728,no,-3129344,-19100.000,48,yes
14,16384,8,8,64,4096,57.292931,4611686018326724609,8,exact,no,12288,yes,4096,25.000,192,yes
14,16384,8,16,128,16384,111.244262,4611686018326724609,16,exact,no,49152,no,-32768,-200.000,192,yes
14,16384,8,32,256,65536,218.641111,4611686018326724609,32,exact,yes,196608,no,-180224,-1100.000,192,yes
14,16384,8,64,512,262144,432.931903,4611686018326724609,64,exact,yes,786432,no,-770048,-4700.000,192,yes
14,16384,8,128,1024,1048576,859.542989,4611686018326724609,128,exact,yes,3145728,no,-3129344,-19100.000,192,yes
14,16384,8,256,2048,4194304,1713.731783,4611686018326724609,256,exact,yes,12582912,no,-12566528,-76700.000,192,yes
15,32768,2,8,16,256,26.940000,4611686018326724609,16,regular,no,768,yes,32000,97.656,12,yes
15,32768,2,16,32,1024,40.380000,4611686018326724609,32,regular,no,3072,yes,29696,90.625,12,yes
15,32768,2,32,64,4096,63.950000,4611686018326724609,64,regular,no,12288,yes,20480,62.500,12,yes
15,32768,2,64,128,16384,108.660000,4611686018326724609,128,regular,no,49152,no,-16384,-50.000,12,yes
15,32768,2,128,256,65536,190.530000,4611686018326724609,256,regular,yes,196608,no,-163840,-500.000,12,yes
15,32768,2,256,512,262144,355.390000,4611686018326724609,512,regular,yes,786432,no,-753664,-2300.000,12,yes
15,32768,4,8,32,1024,30.741436,4611686018326724609,8,exact,no,3072,yes,29696,90.625,48,yes
