config,limb,prime,ring_logn,c,per_poly_t,total_w,projection_i,factor_degree,lpn_N,lpn_k,expected_reduced_weight,estimator_t_floor,exact_attack_bits,regular_attack_bits
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,3,8,16,8,11.780877113342,11,17.092757140920,17.092757140920
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,4,16,32,16,13.279035516083,13,30.442629857180,26.940000000000
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,5,32,64,32,14.456351607630,14,30.631270538349,30.631270538349
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,6,64,128,64,15.178111770653,15,33.138275405688,33.138275405688
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,7,128,256,128,15.575973264196,15,35.227632983667,35.227632983667
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,8,256,512,256,15.784643038853,15,37.704531165237,37.704531165237
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,9,512,1024,512,15.891476369455,15,39.388736034291,39.388736034291
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,10,1024,2048,1024,15.945525732299,15,40.192975967918,40.192975967918
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,11,2048,4096,2048,15.972709606893,15,41.096144496463,41.096144496463
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,12,4096,8192,4096,15.986341470330,15,42.047986932427,42.047986932427
smoke_c2_t8,p0,4611686018326724609,13,2,8,16,13,8192,16384,8192,16.000000000000,16,45.026970380803,45.026970380803
literature_c4_t16,p0,4611686018326724609,14,4,16,64,4,16,64,48,47.096738321090,47,57.292931101612,57.292931101612
literature_c4_t16,p0,4611686018326724609,14,4,16,64,5,32,128,96,52.770618885398,52,128.931757330981,128.931757330981
literature_c4_t16,p0,4611686018326724609,14,4,16,64,6,64,256,192,57.514457415231,57,179.363700431444,135.120000000000
literature_c4_t16,p0,4611686018326724609,14,4,16,64,7,128,512,384,60.513279130076,60,158.461021706047,145.850000000000
literature_c4_t16,p0,4611686018326724609,14,4,16,64,8,256,1024,768,62.192073736932,62,155.311097196735,154.570000000000
literature_c4_t16,p0,4611686018326724609,14,4,16,64,9,512,2048,1536,63.079428135537,63,155.551784573926,155.551784573926
literature_c4_t16,p0,4611686018326724609,14,4,16,64,10,1024,4096,3072,63.535502184273,63,156.117887860157,156.117887860157
literature_c4_t16,p0,4611686018326724609,14,4,16,64,11,2048,8192,6144,63.766690576692,63,157.845164432551,157.845164432551
literature_c4_t16,p0,4611686018326724609,14,4,16,64,12,4096,16384,12288,63.883079211244,63,160.119221551370,160.119221551370
literature_c4_t16,p0,4611686018326724609,14,4,16,64,13,8192,32768,24576,63.941472967490,63,162.658780790293,162.658780790293
literature_c4_t16,p0,4611686018326724609,14,4,16,64,14,16384,65536,49152,64.000000000000,64,167.333354780944,167.333354780944
current_c4_t64,p0,4611686018326724609,13,4,64,256,6,64,256,192,188.356220257427,188,218.641110907670,218.641110907670
current_c4_t64,p0,4611686018326724609,13,4,64,256,7,128,512,384,210.122096340645,210,505.207401042213,505.207401042213
current_c4_t64,p0,4611686018326724609,13,4,64,256,8,256,1024,768,229.158572210241,229,681.671165010723,470.770000000000
current_c4_t64,p0,4611686018326724609,13,4,64,256,9,512,2048,1536,241.466410750248,241,584.472886229869,505.150000000000
current_c4_t64,p0,4611686018326724609,13,4,64,256,10,1024,4096,3072,248.435879845872,248,560.108824699372,527.520000000000
current_c4_t64,p0,4611686018326724609,13,4,64,256,11,2048,8192,6144,252.141087056455,252,552.423549216712,541.990000000000
current_c4_t64,p0,4611686018326724609,13,4,64,256,12,4096,16384,12288,254.051006424212,254,550.314167967027,540.450000000000
current_c4_t64,p0,4611686018326724609,13,4,64,256,13,8192,32768,24576,256.000000000000,256,552.768139149918,552.768139149918
alternative_c8_t8,p0,4611686018326724609,14,8,8,64,3,8,64,56,47.123508453369,47,57.292931101612,57.292931101612
